Label,Statement
5,"['presid', 'georg', 'bush', 'add', 'trillion', 'debt', 'presid', 'obama', 'weve', 'add', 'trillion', 'debt']"
1,"['say', 'suprem', 'court', 'justic', 'suggest', 'case', 'decid', 'base', 'south', 'african']"
5,"['say', 'marco', 'rubio', 'skip', 'defens', 'vote', 'includ', 'kurd', 'fight', 'isi']"
1,"['david', 'cicillin', 'respons', 'feder', 'loan', 'guarante', 'solyndra', 'fail', 'solar', 'compani']"
1,"['say', 'ohio', 'budget', 'item', 'later', 'sign', 'john', 'kasich', 'requir', 'women', 'seek', 'abort', 'undergo', 'mandatori', 'vagin', 'probe']"
1,"['director', 'homeland', 'secur', 'term', 'terrorist', 'attack', 'instead', 'substitut', 'disast']"
5,"['african', 'american', 'youth', 'unemploy', 'percent', 'hispan', 'youth', 'unemploy', 'percent']"
1,"['obamacar', 'provid', 'insur', 'resid', 'illeg']"
1,"['presid', 'barack', 'obama', 'take', 'exact', 'deficit', 'reduct', 'commiss', 'idea']"
1,"['barack', 'obama', 'hillari', 'clinton', 'chang', 'rule', 'engag', 'probabl', 'cost', 'capt', 'humayun', 'khan', 'life']"
5,"['hillari', 'clinton', 'sponsor', 'legisl', 'jail', 'flag', 'burner']"
1,"['say', 'paperback', 'edit', 'mitt', 'romney', 'book', 'delet', 'line', 'massachusett', 'individu', 'mandat', 'model', 'countri']"
1,"['maggi', 'hassan', 'rais', 'tuition', 'make', 'highest', 'america']"
1,"['say', 'terri', 'mcauliff', 'person', 'invent', 'scheme', 'rent', 'lincoln', 'bedroom']"
5,"['creat', 'job', 'unemploy', 'rate', 'half', 'today', 'york', 'state', 'privat', 'sector', 'job', 'histori']"
1,"['town', 'west', 'texa', 'water', 'have', 'truck', 'water']"
5,"['georgia', 'women', 'earn', 'cent', 'dollar', 'earn']"
5,"['feder', 'verifi', 'employe', 'author', 'work', 'inaccur', 'percent', 'excess', 'percent', 'time']"
1,"['go', 'build', 'wall', 'long', 'like', 'environment', 'impact', 'statement']"
1,"['obama', 'campaign', 'announc', 'choos', 'cabinet']"
5,"['percent', 'latino', 'texa', 'regist', 'vote', 'percent', 'actual', 'turn']"
1,"['percent', 'public', 'high', 'school', 'countri', 'offer', 'class']"
5,"['say', 'republican', 'candid', 'actual', 'turn', 'govern', 'economi']"
5,"['militari', 'recruit', 'harvard', 'elena', 'kagan', 'take', 'posit', 'suprem', 'court', 'rule', 'unanim', 'wrong']"
5,"['public', 'school', 'teacher', 'texa', 'teacher', 'public', 'school']"
1,"['mayor', 'cicillin', 'provid', 'sanctuari', 'citi']"
1,"['transgend', 'individu', 'chanc', 'murder']"
5,"['bain', 'capit', 'help', 'start', 'earli', 'childhood', 'learn', 'compani', 'call', 'bright', 'horizon', 'ladi', 'michell', 'obama', 'right', 'prais']"
1,"['say', 'rush', 'stage', 'dayton', 'ohio', 'chatter', 'isi', 'isi', 'social', 'media', 'post']"
1,"['phil', 'gingrey', 'give', 'govern', 'power', 'electron', 'american', 'warrant']"
1,"['alex', 'sink', 'funnel', 'quarter', 'million', 'dollar', 'contract', 'bank', 'america']"
5,"['popul', 'growth', 'virginia', 'zero', 'creation', 'mcdonnel', 'governor']"
1,"['obama', 'home', 'valu', 'florida', 'collaps', 'construct', 'job', 'lose', 'state', 'high', 'foreclosur', 'rate']"
5,"['arizona', 'immigr', 'say', 'polic', 'offic', 'stop', 'appear', 'reason', 'suspici', 'undocu', 'person']"
5,"['time', 'histori', 'debt', 'higher', 'world']"
5,"['cost', 'health', 'care', 'singl', 'biggest', 'factor', 'drive', 'feder', 'budget', 'deficit']"
5,"['recess', 'consum', 'nativ', 'pervers', 'begin', 'save', 'save', 'rate', 'percent']"
1,"['suprem', 'court', 'nomine', 'forthcom', 'confirm', 'hear']"
1,"['say', 'homeless', 'veteran']"
1,"['say', 'charli', 'crist', 'support', 'cut', 'medicar', 'advantag', 'program']"
5,"['think', 'unaccept', 'chines', 'today', 'larger', 'wind', 'power', 'solar', 'panel', 'photovolta', 'manufactur', 'europ', 'forget', 'unit', 'state']"
5,"['say', 'scott', 'brown', 'sponsor', 'legisl', 'employ', 'deni', 'women', 'coverag', 'birth', 'control']"
5,"['point', 'live', 'women', 'birth', 'control']"
1,"['past', 'year', 'egypt', 'great', 'stride', 'polit', 'democrat', 'reform']"
1,"['attent', 'pay', 'week', 'chris', 'christi', 'make', 'coverag', 'benghazi', 'pale', 'signific']"
5,"['say', 'steve', 'southerland', 'vote', 'shutdown', 'go']"
5,"['rick', 'perri', 'texa', 'import', 'nurs', 'countri']"
5,"['feder', 'crimin', 'say', 'crime', 'transport', 'dentur', 'state', 'line']"
5,"['build', 'prison', 'day', 'mass', 'incarcer', 'explos', 'nonviol', 'offend']"
1,"['mccain', 'plan', 'provid', 'virtual', 'middl', 'class']"
1,"['austin', 'burden', 'fastest', 'grow', 'increas', 'major', 'citi', 'nation']"
1,"['phoenix', 'arizona', 'kidnap', 'capit', 'world']"
5,['belong']
5,"['insur', 'commission', 'squat', 'health', 'care']"
5,"['say', 'poll', 'republican', 'candid', 'beat', 'barack', 'obama', 'texa', 'point']"
1,"['presid', 'ronald', 'reagan', 'send', 'troop', 'conflict', 'circumst', 'grenada', 'peacekeep', 'set', 'lebanon']"
1,"['say', 'david', 'jolli', 'support', 'privat', 'social', 'secur']"
5,"['know', 'popul', 'growth', 'lowest', 'great', 'depress']"
5,"['averag', 'student', 'florida', 'actual', 'pocket', 'major', 'univers', 'tuition', 'spend', 'cellphon']"
5,"['american', 'die', 'gunfir', 'die', 'war', 'countri', 'histori']"
5,"['foreclosur', 'effect', 'mean', 'high', 'face', 'foreclosur', 'million', 'famili', 'modifi', 'mortgag', 'short', 'sale', 'lender']"
1,"['florida', 'depart', 'agricultur', 'websit', 'permit', 'carri', 'load', 'hide', 'leav', 'hous']"
1,"['atlanta', 'streetcar', 'expect', 'creat', 'job', 'construct', 'total', 'job', 'year']"
5,"['rais', 'minimum', 'wage', 'hour', 'help', 'lift', 'million', 'american', 'poverti']"
5,"['say', 'secretari', 'state', 'john', 'kerri', 'senat', 'fli', 'managua', 'communist', 'dictat', 'daniel', 'ortega', 'accus', 'reagan', 'administr', 'engag', 'terror']"
1,"['nato', 'open', 'major', 'terror', 'divis', 'sure', 'go', 'credit', 'larg', 'say', 'critic', 'nato']"
5,"['obama', 'percent', 'prochoic', 'rat']"
5,"['gina', 'raimondo', 'take', 'offic', 'invest', 'fee', 'state', 'pension', 'portfolio', 'go', 'million', 'annual', 'million']"
5,"['feder', 'debt', 'grow', 'billion']"
5,"['presid', 'barack', 'obama', 'job', 'state', 'longer', 'teacher', 'firefight', 'polic', 'offic']"
1,"['teacher', 'teacher', 'today', 'year']"
5,"['third', 'wisconsinit', 'receiv', 'unemploy', 'check', 'requir', 'search', 'work', 'current', 'work', 'search', 'exempt']"
5,"['presid', 'obama', 'health', 'care', 'reform', 'premium', 'averag', 'plan', 'famili', 'didnt', 'year', 'go', 'year']"
5,"['investig', 'liber', 'group', 'group', 'progress', 'basic', 'look', 'everybodi']"
1,"['say', 'obama', 'promis', 'unemploy', 'percent']"
5,"['economi', 'creat', 'job', 'fastest', 'pace']"
5,"['presid', 'obama', 'decid', 'meet', 'prime', 'minist', 'benjamin', 'netanyahu', 'york']"
5,"['major', 'state', 'marri', 'freeli', 'fire', 'love']"
1,"['oregon', 'rep', 'peter', 'defazio', 'earl', 'blumenau', 'socialist', 'open', 'serv', 'congress']"
1,"['rudi', 'giuliani', 'probabl', 'underqualifi', 'georg', 'bush', 'seek', 'presid']"
1,"['half', 'presid', 'governor', 'half', 'senat']"
5,"['britain', 'vote', 'leav', 'european', 'union', 'hour', 'american', 'lose', 'billion']"
5,"['medicaid', 'spend', 'declin', 'percent', 'second', 'declin', 'year']"
5,"['say', 'texa', 'constabl', 'die', 'line', 'duti']"
5,"['rick', 'scott', 'cost', 'prepay', 'colleg', 'tuition', 'near']"
5,"['citi', 'columbus', 'save', 'million', 'year', 'employe', 'contribut', 'guarante', 'check', 'pension']"
5,"['florida', 'shut', 'krakow', 'scam', 'refund', 'million', 'josephin', 'victim']"
5,"['women', 'get', 'scienc', 'degre', 'factor', 'plus']"
1,"['forc', 'want', 'taxpay', 'fund', 'fantasi', 'footbal', 'leagu']"
1,"['barack', 'hussein', 'obama', 'forc', 'court', 'accept', 'islam', 'sharia', 'domest', 'disput']"
5,"['percent', 'murder', 'crime', 'commit', 'gun', 'peopl', 'actual', 'legal', 'purchas', 'gun']"
5,"['neighborhood', 'school', 'close']"
5,"['tell', 'organ', 'massachusett', 'stronger', 'advoc', 'special', 'right', 'kennedi']"
5,"['year', 'speaker', 'florida', 'hous', 'consist', 'offer', 'leaner', 'budget', 'governor', 'offer']"
1,"['halfway', 'goal', 'creat', 'job', 'seven', 'year']"
5,"['say', 'suprem', 'court', 'social', 'secur', 'guarante']"
1,"['saysmichael', 'bennet', 'want', 'close', 'guantanamo', 'prisonand', 'bring', 'terrorist', 'right', 'colorado']"
5,"['oregonian', 'amaz', 'cost', 'fight', 'abort', 'free', 'polit', 'donat']"
1,"['presid', 'say', 'go', 'bring', 'syrian', 'iraqi', 'refuge', 'countri']"
1,"['research', 'show', 'vast', 'major', 'arriv', 'immigr', 'today', 'come', 'believ', 'govern', 'sourc', 'prosper', 'that', 'support']"
5,"['newt', 'gingrich', 'immigr', 'plan', 'offer', 'doorway', 'amnesti']"
1,"['caprio', 'career', 'politician', 'work', 'privat', 'sector']"
1,"['rhode', 'island', 'percent', 'worker', 'state', 'temporari', 'disabl', 'insur', 'program', 'year', 'jersey', 'rate', 'percent']"
5,"['year', 'spend', 'social', 'secur', 'feder', 'health', 'care', 'debt', 'exceed', 'revenu']"
5,"['presid', 'obama', 'take', 'money', 'wall', 'street', 'campaign', 'anybodi']"
5,"['donald', 'trump', 'say', 'nuclear', 'prolifer']"
5,"['hillari', 'clinton', 'take', 'lobbyist']"
1,"['barack', 'obama', 'work', 'busi']"
5,"['say', 'arizona', 'immigr', 'expressli', 'ban', 'racial', 'profil']"
1,"['say', 'rick', 'perri', 'beg', 'feder', 'govern', 'send', 'coast', 'guard', 'patrol', 'lake', 'mexico', 'border']"
1,"['veteran', 'die', 'wait', 'care']"
5,"['spend', 'percent', 'economi', 'govern']"
1,"['cornill', 'support', 'privat', 'medicar']"
1,"['branch', 'tri', 'expand', 'trimest', 'abort', 'texa']"
5,"['democrat', 'steadi', 'progress', 'creat', 'job', 'improv', 'school']"
1,"['michigan', 'massachusett', 'rais', 'bottl', 'deposit', 'longer', 'afford', 'program', 'redempt', 'high', 'profit']"
5,"['like', 'admit', 'half', 'general', 'revenu', 'go', 'educ']"
1,"['whos', 'fight', 'develop', 'drain', 'everglad']"
5,"['say', 'johnson', 'call', 'social', 'secur', 'ponzi', 'scheme', 'want', 'privat', 'program']"
5,"['state', 'citi', 'type', 'polici', 'pass', 'refer', 'north', 'carolina', 'hous']"
1,"['climat', 'chang', 'direct', 'relat', 'growth', 'terror']"
1,"['job', 'includ', 'presid', 'obama', 'soup', 'kitchen']"
1,"['say', 'obama', 'administr', 'spend', 'taxpay', 'dollar', 'electr', 'car', 'finland', 'windmil', 'china']"
5,"['sarah', 'mayor', 'wasilla', 'tri', 'high', 'respect', 'citi', 'librarian', 'librarian', 'refus', 'consid', 'remov', 'librari', 'book', 'sarah', 'want', 'remov']"
5,"['milwauke', 'approv', 'reduc', 'maximum', 'forfeitur', 'marijuana', 'possess', 'citi', 'differ', 'bicycl', 'violat', 'higher', 'forfeitur']"
1,"['illeg', 'immigr', 'year']"
1,"['say', 'rick', 'perri', 'write', 'letter', 'support', 'hillarycar']"
1,"['patent', 'trademark', 'offic', 'receiv', 'zero', 'complaint', 'washington', 'redskin']"
1,"['presid', 'health', 'care', 'propos', 'caus', 'american', 'premium', 'increas', 'decreas', 'hundr', 'million', 'peopl', 'lose', 'current', 'insur', 'coverag']"
5,"['mexican', 'immigr', 'abid', 'citizen', 'statist']"
5,"['say', 'chris', 'christi', 'veto', 'job', 'packag', 'bill']"
5,"['american', 'job', 'solar', 'industri', 'coal', 'mine']"
5,"['say', 'illinoi', 'gubernatori', 'candid', 'bradi', 'prioriti', 'win', 'primari', 'sponsor', 'mass', 'euthan', 'shelter', 'dog', 'cat', 'chamber']"
5,"['barack', 'obama', 'economi', 'that', 'worsen', 'presid', 'unit', 'state']"
5,"['romney', 'fail', 'action', 'sanctuari', 'citi', 'massachusett']"
5,"['say', 'jersey', 'near', 'job', 'recess', 'peak', 'chris', 'christi', 'jersey', 'trail', 'rest', 'america', 'come', 'unemploy', 'consecut', 'month']"
1,"['say', 'thoma', 'eric', 'duncan', 'come', 'unit', 'state', 'elev', 'temperatur']"
5,"['afghanistan', 'longer', 'foreign', 'land', 'conduct', 'nation', 'histori']"
5,"['price', 'go', 'obama', 'take', 'offic']"
5,"['webster', 'sponsor', 'creat', 'form', 'marriag', 'trap', 'women', 'abus', 'relationship']"
5,"['say', 'judg', 'better', 'benefit', 'lower', 'cost', 'everybodi', 'state']"
5,"['casino', 'countri', 'go', 'bankrupt']"
5,"['small', 'busi', 'creat', 'percent', 'job', 'america']"
5,"['senior', 'coverag', 'medicar', 'advantag', 'share', 'health', 'care', 'reform']"
5,"['school', 'kid', 'arrest', 'florida', 'make', 'florida', 'nation', 'leader', 'area']"
5,"['texa', 'countri', 'economi', 'rank', 'world']"
1,"['rig', 'oper', 'unit', 'state', 'rest', 'world', 'combin']"
5,"['payday', 'lender', 'profit', 'poor', 'charg', 'plus', 'percent']"
5,"['social', 'secur', 'trust', 'fund', 'sound', 'function', 'time', 'chang', 'percent', 'benefit', 'peopl', 'earn']"
5,"['commit', 'voter', 'serious', 'incumb', 'ohio', 'break', 'pledg', 'vote', 'strickland', 'incom', 'hike', 'defeat', 'sound', 'tuesday']"
1,"['obama', 'administr', 'shut', 'amber', 'alert', 'program', 'govern', 'shutdown']"
5,"['republican', 'percent', 'muslim', 'vote']"
5,"['america', 'prison', 'popul', 'explod', 'america', 'have', 'greater', 'percentag', 'peopl', 'bar', 'nation', 'world']"
1,"['say', 'hear', 'gabriell', 'gifford', 'suggest', 'david', 'petraeus', 'armi', 'emphasi', 'environment', 'damag', 'method', 'like', 'stab', 'club', 'enemi', 'forc', 'order', 'minim', 'carbon', 'output']"
5,"['singl', 'republican', 'senat', 'block', 'rais', 'minimum', 'wage', 'receiv', 'cost', 'live', 'adjust', 'januari']"
5,"['texa', 'male', 'babi', 'vote', 'jose']"
5,"['marco', 'rubio', 'vote', 'author', 'presid', 'obama', 'strike', 'syria', 'assad', 'chemic', 'weapon', 'peopl']"
1,"['cash', 'clunker', 'program', 'local', 'junkyard', 'hous', 'go']"
1,"['republican', 'gut', 'recogn', 'climat', 'chang', 'real']"
5,"['peopl', 'work', 'longer', 'hour', 'lower', 'wag', 'incom', 'go', 'percent']"
1,"['david', 'dewhurst', 'record', 'promot', 'incom']"
5,"['point', 'pleasant', 'beach', 'beach', 'privat', 'own', 'oper', 'busi', 'jenkinson']"
1,"['past', 'year', 'percent', 'american', 'chang', 'mind', 'afghanistan', 'conclud', 'shouldn']"
1,"['year', 'peopl', 'kill', 'mexico', 'border']"
1,"['state', 'ohio', 'lowest', 'unemploy', 'rat', 'nation', 'right', 'lead', 'pack', 'term', 'creation']"
1,"['say', 'obama', 'health', 'reform', 'deni', 'million', 'access', 'afford', 'insur']"
1,"['say', 'move', 'needl', 'iota', 'north', 'carolina', 'economi']"
1,"['close', 'feder', 'prison', 'popul', 'consist', 'illeg', 'immigr']"
1,"['say', 'rick', 'scott', 'call', 'educ', 'core', 'function', 'state']"
1,"['famili', 'research', 'council', 'accord', 'govern', 'agenc', 'terrorist', 'group']"
5,"['say', 'weidner', 'propos', 'take', 'away', 'health', 'care', 'oregon', 'children']"
5,"['say', 'elect', 'kean', 'largest', 'win', 'margin', 'gubernatori', 'candid', 'jersey', 'histori']"
1,"['obamacar', 'biggest', 'increas', 'american', 'histori']"
5,"['say', 'barack', 'obama', 'readi', 'command', 'chief']"
5,"['median', 'male', 'worker', 'countri', 'see', 'rais', 'inflat', 'adjust', 'year', 'basic']"
1,"['milwauke', 'mayor', 'barrett', 'hold', 'line', 'properti', 'tax']"
5,"['member', 'hous', 'repres', 'rais', 'campaign', 'fund', 'elect', 'small', 'contribut']"
5,"['unlik', 'gridlock', 'washington', 'percent', 'bill', 'pass', 'general', 'assembl', 'bipartisan', 'support']"
1,"['josh', 'mandel', 'lie', 'record', 'rat', 'ohio', 'invest', 'fund', 'improv']"
5,"['rick', 'scott', 'take', 'famili', 'leas', 'land', 'drill', 'tri', 'hide']"
5,"['money', 'possibl', 'leas', 'ohio', 'turnpik']"
5,"['begin', 'decad', 'america', 'budget', 'surplus', 'billion', 'time', 'take', 'offic', 'year', 'deficit', 'trillion', 'project', 'deficit', 'trillion', 'decad']"
5,"['presid', 'nomin', 'confirm', 'defeat']"
5,"['taxpay', 'forc', 'fund', 'feisal', 'abdul', 'rauf', 'trip', 'middl', 'east']"
1,"['milwauke', 'counti', 'taxpay', 'pay', 'settl', 'lawsuit', 'decis', 'sheriff', 'david', 'clark', 'untrain', 'correct', 'offic', 'deputi', 'patrol', 'lakefront']"
5,"['justic', 'depart', 'polici', 'director', 'jam', 'comey', 'discuss', 'detail', 'feder', 'investig', 'close', 'elect']"
5,"['democrat', 'presid', 'consider', 'effect', 'creat', 'privat', 'sector', 'job']"
5,"['biden', 'vote', 'gulf', 'oppos', 'surg', 'want', 'partit', 'iraq']"
1,"['say', 'rush', 'limbaugh', 'clear', 'countri', 'fail', 'presid', 'barack', 'obama', 'succeed']"
5,"['percent', 'american', 'peopl', 'percent', 'incom', 'america', 'wasnt', 'georg', 'bush', 'presid']"
5,"['militari', 'recruit', 'go', 'harvard', 'singl', 'time', 'kagan']"
5,"['say', 'rick', 'perri', 'plan', 'texa', 'fund', 'public', 'school']"
5,"['say', 'david', 'perdu', 'want', 'abolish', 'depart', 'educ', 'cost', 'georgia', 'school', 'billion', 'year', 'elimin', 'million', 'student', 'loan']"
5,"['paul', 'ryan', 'budget', 'propos', 'privat', 'medicar']"
5,"['high', 'school', 'student', 'arrest', 'campus', 'twice', 'like', 'graduat', 'time', 'like', 'graduat', 'theyv', 'appear', 'court']"
5,"['unit', 'state', 'imprison', 'nation', 'world']"
1,"['say', 'marco', 'rubio', 'open', 'border']"
5,"['year', 'feder', 'spend', 'educ', 'grow', 'percent', 'test', 'score', 'remain', 'flat']"
1,"['say', 'cut', 'medicar', 'affect', 'peopl', 'pay', 'pay']"
1,"['david', 'alameel', 'give', 'thousand', 'dollar', 'support', 'republican', 'parti', 'candid', 'includ', 'john', 'cornyn', 'greg', 'abbott']"
5,"['american', 'healthcar', 'burn', 'percent', 'nation', 'close']"
1,"['provid', 'port', 'mile', 'closer', 'europ', 'eastern', 'port']"
5,"['say', 'need', 'photo', 'purchas', 'sudaf', 'texa']"
5,"['percent', 'hous', 'portland', 'pearl', 'district', 'afford']"
5,"['say', 'allow', 'payrol', 'holiday', 'expir', 'cost', 'estim', 'job']"
5,"['hillari', 'clinton', 'support', 'nafta', 'perman', 'china', 'trade', 'pennsylvania', 'lose', 'thousand', 'job']"
5,"['numer', 'studi', 'show', 'call', 'right', 'work', 'law', 'generat', 'job', 'econom', 'growth']"
5,"['obama', 'budget', 'plan', 'nation', 'debt', 'percent', 'gross', 'nation', 'product', 'histor', 'percent']"
1,"['say', 'hillari', 'clinton', 'say', 'veteran', 'affair', 'scandal', 'exagger', 'say', 'satisfi', 'go']"
1,"['drive', 'health', 'care', 'cost', 'lowest', 'theyv', 'year']"
5,"['presid', 'barack', 'obama', 'initi', 'respons', 'hear', 'christma', 'underwear', 'bomber', 'isol', 'extremist']"
5,"['say', 'sherrod', 'brown', 'admit', 'billion', 'stimulus', 'fail', 'specif', 'attack', 'republican', 'want', 'lower', 'american', 'tax', 'claim', 'stimulus', 'didnt', 'lower', 'tax']"
5,"['peopl', 'rich', 'rate', 'percent']"
5,"['charleston', 'shootershould', 'give', 'univers', 'background', 'check', 'fast']"
1,"['percent', 'iraqi', 'peopl', 'okay', 'shoot', 'american', 'soldier']"
1,"['judg', 'throw', 'legal', 'challeng', 'health', 'care', 'reject', 'notion', 'health', 'care']"
5,"['say', 'chris', 'christi', 'propos', 'reduc', 'state', 'incom', 'tax', 'second', 'rich', 'governor', 'year']"
5,"['warren', 'buffett', 'support']"
5,"['say', 'georg', 'lemieux', 'republican', 'vote', 'presid', 'barack', 'obama', 'job']"
1,"['precinct', 'allen', 'west', 'patrick', 'murphi', 'recount', 'regist', 'voter', 'guatemalan', 'communiti', 'talli', 'show', 'vote']"
5,"['peopl', 'unemploy', 'take', 'offic', 'unemploy']"
1,"['person', 'kathleen', 'sebelius', 'go', 'determin', 'year', 'lung', 'patient', 'sarah', 'murnaghan', 'live']"
1,"['klein', 'repeat', 'vote', 'favor', 'amnesti', 'illeg', 'immigr']"
1,"['local', 'enforc', 'access', 'obamacar', 'data', 'hub', 'treasur', 'trove', 'person', 'info']"
5,"['tenur', 'mayor', 'houston', 'crime', 'rat', 'drop', 'lowest', 'level', 'year']"
1,"['barack', 'obama', 'columbia', 'univers', 'say', 'foreign', 'student', 'go', 'barri', 'soetoro']"
1,"['john', 'mccain', 'richest', 'peopl', 'senat', 'fill', 'millionair', 'say', 'solut', 'hous', 'crisi', 'peopl', 'second', 'skip', 'vacat']"
1,"['terri', 'mcauliff', 'want', 'rais', 'tax', 'infinit', 'promis']"
5,"['hypocrisi', 'clinton', 'foundat', 'male', 'staff', 'averag', 'femal', 'staff']"
5,"['feder', 'violenc', 'women', 'adopt', 'case', 'domest', 'violenc', 'fall', 'percent']"
5,"['say', 'feder', 'enforc', 'offic', 'question', 'christma', 'underwear', 'bomber', 'give', 'miranda', 'warn', 'minut', 'question']"
5,"['legal', 'illeg', 'immigr']"
5,"['near', 'half', 'pregnanc', 'unintend']"
5,"['borrow', 'saudi', 'money', 'saudi', 'result', 'depend', 'debt']"
5,"['say', 'home', 'sale', 'oswego', 'lake', 'right', 'welcom']"
5,"['presid', 'presid', 'lose', 'million', 'job', 'privat', 'sector', 'know', 'whos', 'whos', 'complain', 'today', 'public', 'sector', 'weve', 'gain', 'public', 'sector', 'job']"
1,"['percent', 'half', 'entir', 'revenu', 'countri']"
1,"['differ', 'previous', 'year', 'thing', 'head', 'bring', 'year', 'total', 'save', 'properti', 'money']"
5,"['chris', 'christi', 'increas', 'tax']"
1,"['unit', 'state', 'grower', 'dairi', 'bring', 'workforc', 'legal']"
1,"['say', 'say', 'educ', 'fund']"
5,"['colleg', 'tuition', 'nationwid', 'go', 'like', 'time', 'rate', 'inflat']"
5,"['say', 'portman', 'say', 'irrespons', 'medicar']"
5,"['dekalb', 'school', 'construct', 'project', 'come', 'budget']"
1,"['palin', 'support', 'right', 'wing', 'extremist', 'buchanan', 'presid']"
1,"['say', 'sherrod', 'brown', 'vote', 'block', 'american', 'energi', 'product', 'increas', 'energi', 'tax']"
1,"['say', 'jeann', 'shaheen', 'vote', 'measur', 'amount', 'nation', 'energi']"
5,"['washington', 'strictest', 'law', 'countri', 'pass', 'violenc', 'skyrocket']"
5,"['seven', 'presid', 'barack', 'obama', 'republican', 'democrat', 'tri', 'expand', 'health', 'care', 'american']"
1,"['fight', 'toughen', 'penalti', 'workplac', 'gender', 'discrimin', 'state', 'glenn', 'grothman', 'say', 'didnt', 'believ', 'women', 'belong', 'workplac', 'belong', 'home', 'cook', 'clean', 'have', 'babi']"
1,"['billion', 'revenu', 'rais', 'year', 'buffett', 'rule', 'infrastructur', 'creat', 'infrastructur', 'job']"
1,"['proper', 'collect', 'noun', 'group', 'baboon', 'believ', 'congress']"
5,"['repeat', 'say', 'predatori', 'loan', 'mortgag', 'target', 'african', 'american', 'latino', 'communiti']"
5,"['start', 'decemb', 'million', 'job', 'creat', 'texa', 'period', 'rest', 'countri', 'lose', 'job']"
